entries,size,statuses,profile_reversal_family,coefficient_min,coefficient_max,perron_sensitivity,perron_contribution
"[[[1,3,5,3],[0,0,3,3]],[[1,3,5,3],[1,3,2,0]],[[3,5,3,1],[0,2,3,1]],[[3,5,3,1],[3,3,0,0]]]",4,provisional_common_1_over_q_target,"[1,3,5,3]",0.03125,0.03125,0.0031592377222271293,9.872617881959779e-05
"[[[3,3,3,3],[1,3,0,2]],[[3,3,3,3],[2,0,3,1]]]",2,provisional_common_1_over_q_target,"[3,3,3,3]",0.03125,0.03125,0.002945561290514566,9.204879032858019e-05
"[[[1,3,3,5],[0,0,3,3]],[[1,3,3,5],[1,3,0,2]],[[5,3,3,1],[2,0,3,1]],[[5,3,3,1],[3,3,0,0]]]",4,provisional_common_1_over_q_target,"[1,3,3,5]",0.03125,0.03125,0.0029257108370569053,9.142846365802829e-05
"[[[1,7,1,3],[0,2,1,3]],[[1,7,1,3],[1,5,0,0]],[[3,1,7,1],[0,0,5,1]],[[3,1,7,1],[3,1,2,0]]]",4,provisional_common_1_over_q_target,"[1,7,1,3]",0.03125,0.03125,0.0027812655837096216,8.691454949092568e-05
"[[[1,1,7,3],[0,0,3,3]],[[1,1,7,3],[1,1,4,0]],[[3,7,1,1],[0,4,1,1]],[[3,7,1,1],[3,3,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,7,3]",0.03125,0.03125,0.002601926163759822,8.131019261749444e-05
"[[[1,5,5,1],[0,4,1,1]],[[1,5,5,1],[1,1,4,0]]]",2,provisional_common_1_over_q_target,"[1,5,5,1]",0.03125,0.03125,0.0023296742504364614,7.280232032613942e-05
"[[[3,3,1,5],[0,0,1,5]],[[3,3,1,5],[3,3,0,0]],[[5,1,3,3],[0,0,3,3]],[[5,1,3,3],[5,1,0,0]]]",4,provisional_common_1_over_q_target,"[3,3,1,5]",0.03125,0.03125,0.0022372557698915906,6.991424280911221e-05
"[[[1,3,7,1],[0,0,5,1]],[[1,3,7,1],[1,3,2,0]],[[1,7,3,1],[0,2,3,1]],[[1,7,3,1],[1,5,0,0]]]",4,provisional_common_1_over_q_target,"[1,3,7,1]",0.03125,0.03125,0.002220412565278655,6.938789266495798e-05
"[[[1,3,5,3],[0,0,5,1]],[[1,3,5,3],[1,3,0,2]],[[3,5,3,1],[1,5,0,0]],[[3,5,3,1],[2,0,3,1]]]",4,provisional_common_1_over_q_target,"[1,3,5,3]",0.03125,0.03125,0.002056282456767285,6.425882677397766e-05
"[[[1,1,9,1],[0,0,5,1]],[[1,1,9,1],[1,1,4,0]],[[1,9,1,1],[0,4,1,1]],[[1,9,1,1],[1,5,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,9,1]",0.03125,0.03125,0.0018287163094098562,5.714738466905801e-05
